table,config,run1_or_note,run2,run3,avg
T_seq,k=1(sequential),2.127008,2.139701,2.079266,2.109483
T_k,k=1,,2.100454,2.074496,2.074777,2.074636
T_k,k=2,,1.116797,1.116649,1.117008,1.116828
T_k,k=4,,0.584975,0.584641,0.595075,.589858
T_k,k=8,,0.395439,0.386775,0.379781,.383278
FalseSharing,naive(hits[tid]++),,0.429422,0.433973,0.436072,.435022
FalseSharing,reduction,,0.373107,0.374774,0.379178,.376976
FalseSharing,padded_struct,,0.395558,0.395764,0.397832,.396798
Scheduling,static_default,,0.389251,0.378701,0.384996,.381848
Scheduling,static_1000,,0.436324,0.415567,0.368736,.392151
Scheduling,dynamic_100,,0.363246,0.369958,0.359886,.364922
Scheduling,dynamic_10000,,0.360988,0.361801,0.366376,.364088
Scheduling,guided,,0.362491,0.364408,0.362151,.363279
